Id,Age,No. of Complaints, MP in Ksh,Contacts,Swap Agent
1,30,0,1200,20,0
2,18,2,60,10,1
3,60,1,180,44,0
4,25,2,200,30,0
5,30,2,300,10,1
6,45,1,900,55,0
7,50,3,120,20,0
8,78,1,60,10,1
9,26,1,180,44,0
10,23,2,200,30,0
11,33,2,300,10,1
12,45,1,1200,55,0
13,30,2,800,100,0
14,33,6,60,90,1
15,26,1,180,44,0
16,23,2,2000,30,0
17,33,2,3000,10,1
18,45,1,1200,55,0
19,66,1,50,100,0
20,78,1,60,10,1
21,26,1,180,44,0
22,23,2,2000,30,0
23,33,2,300,10,1
24,45,1,1200,55,0
25,66,1,50,100,0
26,78,1,60,10,1
27,26,1,180,44,0
28,23,2,200,30,0
29,33,2,3000,10,1
30,45,1,1200,50,1
